label,generation,hypervolume
u2_spea2_div,21,7975527.3511
u2_spea2_div,22,7975527.3511
u2_spea2_div,23,7999611.8697
u2_spea2_div,24,7826640.3917
u2_spea2_div,25,7826640.3917
u2_spea2_div,26,7877901.0657
u2_spea2_div,27,7904686.9063
u2_spea2_div,28,7906735.1658
u2_spea2_div,29,7906735.1658
u2_spea2_div,30,7964037.8496
u2_spea2_div,31,8105365.923
u2_spea2_div,32,8124742.4248
u2_spea2_div,33,8125650.7468
u2_spea2_div,34,8345614.7332
u2_spea2_div,35,8362749.771
u2_spea2_div,36,8393027.831
u2_spea2_div,37,8418909.0828
u2_spea2_div,38,8419349.1368
u2_spea2_div,39,8430896.4373
u2_spea2_div,40,8497835.1538
u2_spea2_div,41,8506007.5998
u2_spea2_div,42,8506072.6518
u2_spea2_div,43,8846274.323
u2_spea2_div,44,8842371.0245
u2_spea2_div,45,8847951.6315
u2_spea2_div,46,8849663.5965
u2_spea2_div,47,8861196.463
u2_spea2_div,48,8868067.621
u2_spea2_div,49,8922947.24
u2_spea2_div,50,8941093.415
u2_spea2_div,51,8942207.135
u2_spea2_div,52,8943807.581
u2_spea2_div,53,8945251.783
u2_spea2_div,54,8788347.5587
u2_spea2_div,55,8785975.6837
u2_spea2_div,56,8784878.6027
u2_spea2_div,57,8823322.6097
u2_spea2_div,58,8543344.0592
u2_spea2_div,59,8542234.1862
u2_spea2_div,60,8645559.2698
u2_spea2_div,61,8645559.2698
u2_spea2_div,62,8652588.1008
u2_spea2_div,63,8651489.8493
u2_spea2_div,64,8671707.2873
u2_spea2_div,65,8671847.3933
u2_spea2_div,66,8673863.9533
u2_spea2_div,67,8721094.682
u2_spea2_div,68,8755357.483
u2_spea2_div,69,8764971.2972
u2_spea2_div,70,8800464.2351
u2_spea2_div,71,8802590.7641
u2_spea2_div,72,8802590.7641
u2_spea2_div,73,8807682.6606
u2_spea2_div,74,8807679.2586
u2_spea2_div,75,8811962.7331
u2_spea2_div,76,8822302.7741
u2_spea2_div,77,8886479.0155
u2_spea2_div,78,8892767.0735
u2_spea2_div,79,8964281.4417
u2_spea2_div,80,8961742.7657
